ID,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
807,HF Gurney (ENG),2014-2014,10,10,455,432,11,4/1/1955,39.27,5.69,41.3,1,0
808,Haris Sohail (PAK),2013-2019,41,21,642,613,11,3/1/1945,55.72,5.72,58.3,0,0
809,Haseeb Amjad (HKG),2014-2016,7,7,342,288,11,3/1/1949,26.18,5.05,31,0,0
810,DW Headley (ENG),1996-1999,13,13,594,520,11,2/1/1938,47.27,5.25,54,0,0
811,HJ Howarth (NZ),1973-1975,9,8,492,280,11,3/29/2025,25.45,3.41,44.7,0,0
812,RL Johnson (ENG),2003-2003,10,9,402,239,11,3/22/2025,21.72,3.56,36.5,0,0
813,CL King (WI),1976-1980,18,15,744,529,11,4/23/2025,48.09,4.26,67.6,1,0
814,NM Kulkarni (INDIA),1997-1998,10,8,402,357,11,3/27/2025,32.45,5.32,36.5,0,0
815,RT Latham (NZ),1990-1994,33,21,450,386,11,5/1/1932,35.09,5.14,40.9,0,1
816,P Lever (ENG),1971-1975,10,9,440,261,11,4/1/1935,23.72,3.55,40,1,0
817,AA Mallett (AUS),1971-1975,9,9,502,341,11,3/1/1934,31,4.07,45.6,0,0
818,MF Malone (AUS),1977-1982,10,10,612,315,11,2/9/2025,28.63,3.08,55.6,0,0
819,A Martin (WI),2011-2011,9,9,444,296,11,4/1/1936,26.9,4,40.3,1,0
820,EZ Matambanadzo (ZIM),1996-1997,7,7,297,217,11,4/1/1932,19.72,4.38,27,1,0
821,M Mbangwa (ZIM),1996-2002,29,29,1369,1140,11,2/24/2025,103.63,4.99,124.4,0,0
822,DR Parry (WI),1978-1980,6,6,330,259,11,3/1/1947,23.54,4.7,30,0,0
823,RL Powell (WI),1999-2005,109,25,473,491,11,2/5/2025,44.63,6.22,43,0,0
824,TT Samaraweera (SL),1998-2011,53,17,702,542,11,3/1/1934,49.27,4.63,63.8,0,0
825,Shafiuddin Ahmed (BDESH),1997-2000,11,11,495,426,11,3/1/1942,38.72,5.16,45,0,0
826,DLS van Bunge (NL),2002-2013,37,13,331,329,11,3/16/2025,29.9,5.96,30,0,0
827,A van der Merwe (IRE),2010-2011,9,9,432,323,11,5/1/1949,29.36,4.48,39.2,0,1
828,JDF Vandersay (SL),2015-2019,12,11,491,480,11,3/1/1950,43.63,5.86,44.6,0,0
829,AS Wassan (INDIA),1990-1991,9,9,426,283,11,3/28/2025,25.72,3.98,38.7,0,0
830,M Zondeki (Afr/SA),2002-2008,13,12,558,504,11,2/1/1940,45.81,5.41,50.7,0,0
831,MW Alleyne (ENG),1999-2000,10,9,366,280,10,3/27/2025,28,4.59,36.6,0,0
832,MA Aponso (SL),2016-2018,9,9,423,377,10,4/18/2025,37.7,5.34,42.3,1,0
833,TD Astle (NZ),2017-2019,9,8,270,246,10,3/1/1933,24.6,5.46,27,0,0
834,DJ Callaghan (SA),1992-2000,29,19,444,365,10,3/1/1932,36.5,4.93,44.4,0,0
835,A Codrington (CAN),2003-2007,9,8,300,265,10,5/27/2025,26.5,5.3,30,0,1
836,M de Lange (SA),2012-2016,4,4,209,198,10,4/1/1946,19.8,5.68,20.9,1,0
837,R Dhanraj (WI),1994-1995,6,5,264,170,10,4/26/2025,17,3.86,26.4,1,0
838,JN Frylinck (NAM),2019-2019,5,5,195,116,10,5/13/2025,11.6,3.56,19.5,0,1
839,MW Gatting (ENG),1977-1993,92,14,392,336,10,3/1/1932,33.6,5.14,39.2,0,0
840,NG Jones (IRE),2010-2011,14,13,389,234,10,2/19/2025,23.4,3.6,38.9,0,0
841,Khawar Ali (OMAN),2019-2019,5,5,258,188,10,4/23/2025,18.8,4.37,25.8,1,0
842,FJ Klaassen (NL),2018-2019,4,4,240,150,10,3/30/2025,15,3.75,24,0,0
843,RR Kulkarni (INDIA),1983-1987,10,10,444,345,10,3/1/1942,34.5,4.66,44.4,0,0
844,DK Liyanage (SL),1992-2001,16,16,642,510,10,3/1/1949,51,4.76,64.2,0,0
845,Mohammad Sharif (BDESH),2001-2007,9,9,499,424,10,3/1/1940,42.4,5.09,49.9,0,0
846,Mohammad Zahid (PAK),1996-2002,11,11,512,391,10,2/20/2025,39.1,4.58,51.2,0,0
847,D Mohammed (WI),2006-2008,7,6,353,235,10,3/1/1937,23.5,3.99,35.3,0,0
848,Naimur Rahman (BDESH),1995-2002,29,24,1094,904,10,2/1/1951,90.4,4.95,109.4,0,0
849,RJ Nicol (NZ),2011-2013,22,17,339,329,10,4/19/2025,32.9,5.82,33.9,1,0
850,H Patel (CAN),2009-2013,23,16,409,353,10,4/28/2025,35.3,5.17,40.9,1,0
851,MJG Rippon (NL),2013-2018,6,6,252,167,10,4/1/1937,16.7,3.97,25.2,1,0
852,IH Romaine (BMUDA),2006-2009,35,13,326,355,10,2/22/2025,35.5,6.53,32.6,0,0
853,KR Rutherford (NZ),1985-1995,121,17,389,323,10,2/1/1939,32.3,4.98,38.9,0,0
854,RL Sanghvi (INDIA),1998-1998,10,10,498,399,10,3/29/2025,39.9,4.8,49.8,0,0
855,Sanwar Hossain (BDESH),1998-2003,27,13,383,327,10,3/1/1949,32.7,5.12,38.3,0,0
856,MD Shanaka (SL),2016-2019,22,12,282,274,10,5/1/1943,27.4,5.82,28.2,0,1
857,G Sharma (INDIA),1985-1987,11,10,486,361,10,3/29/2025,36.1,4.45,48.6,0,0
858,TB Sole (SCOT),2018-2019,10,10,504,387,10,4/15/2025,38.7,4.6,50.4,1,0
859,MN Waller (ZIM),2009-2018,79,30,666,566,10,2/1/1944,56.6,5.09,66.6,0,0
860,Ziaur Rahman (BDESH),2013-2014,13,11,390,301,10,5/30/2025,30.1,4.63,39,0,1
861,KN Amalean (SL),1986-1988,8,8,318,207,9,4/1/1946,23,3.9,35.3,1,0
862,MKDI Amerasinghe (SL),2007-2008,8,8,426,363,9,3/1/1944,40.33,5.11,47.3,0,0
863,Amjad Javed (UAE),2008-2017,15,15,618,608,9,3/1/1960,67.55,5.9,68.6,0,0
864,ML Cummins (WI),2014-2017,11,9,450,474,9,3/1/1982,52.66,6.32,50,0,0
865,KM Curran (ZIM),1983-1987,11,10,506,398,9,3/1/1965,44.22,4.71,56.2,0,0
866,MH Dekker (ZIM),1992-1996,23,12,347,290,9,2/16/2025,32.22,5.01,38.5,0,0
867,GRA de Silva (SL),1975-1982,6,6,305,262,9,3/1/1941,29.11,5.15,33.8,0,0
868,PLS Gamage (SL),2014-2017,9,9,402,392,9,4/1/1957,43.55,5.85,44.6,1,0
869,K Gore (USA),2019-2019,7,7,300,208,9,4/20/2025,23.11,4.16,33.3,1,0
870,MP Jarvis (ZIM),1987-1995,12,12,601,451,9,2/1/1937,50.11,4.5,66.7,0,0
871,Javed Ahmadi (AFG),2010-2019,44,17,398,319,9,4/1/1937,35.44,4.8,44.2,1,0
872,P Khadka (NEPAL),2018-2019,6,6,258,164,9,4/26/2025,18.22,3.81,28.6,1,0
873,Khaliq Dad (AFG),2009-2010,6,6,252,150,9,3/30/2025,16.66,3.57,28,0,0
874,RJ Kirtley (ENG),2001-2004,11,11,549,481,9,2/1/1933,53.44,5.25,61,0,0
875,T Kumaran (INDIA),1999-2000,8,8,378,348,9,3/24/2025,38.66,5.52,42,0,0
876,RP Lefebvre (NL),1996-2003,11,11,534,346,9,2/1/1938,38.44,3.88,59.3,0,0
877,AS Luseno (KENYA),2003-2010,10,10,330,316,9,4/1/1932,35.11,5.74,36.6,1,0
878,MW Machan (SCOT),2013-2016,23,16,402,384,9,3/31/2025,42.66,5.73,44.6,0,0
879,CS MacLeod (SCOT),2008-2019,66,31,770,694,9,2/26/2025,77.11,5.4,85.5,0,0
880,Mohammad Kashif (NL),2006-2010,11,11,450,410,9,3/1/1942,45.55,5.46,50,0,0
881,Mohammad Shahzad (UAE),2014-2016,6,6,240,233,9,4/26/2025,25.88,5.82,26.6,1,0
882,Mohammad Tauqir (UAE),2004-2015,11,11,491,383,9,2/1/1938,42.55,4.68,54.5,0,0
883,DT Mutendera (ZIM),1999-2001,9,9,390,334,9,3/23/2025,37.11,5.13,43.3,0,0
884,JL Ontong (Afr/SA),2001-2012,28,16,538,396,9,3/30/2025,44,4.41,59.7,0,0
885,CAK Rajitha (SL),2018-2019,9,9,353,379,9,2/17/2025,42.11,6.44,39.2,0,0
886,TG Shaw (SA),1991-1994,9,9,504,298,9,2/19/2025,33.11,3.54,56,0,0
887,TAM Siriwardana (SL),2015-2019,27,21,601,547,9,2/27/2025,60.77,5.46,66.7,0,0
888,Soumya Sarkar (BDESH),2014-2019,55,14,324,318,9,3/1/1956,35.33,5.88,36,0,0
889,S Sriram (INDIA),2000-2004,8,8,324,274,9,3/1/1943,30.44,5.07,36,0,0
890,CAH Stevenson (USA),2019-2019,4,4,186,149,9,3/22/2025,16.55,4.8,20.6,0,0
891,ML Su'a (NZ),1992-1995,12,12,463,367,9,4/1/1959,40.77,4.75,51.4,1,0
892,BRM Taylor (ZIM),2004-2019,193,21,396,406,9,3/1/1954,45.11,6.15,44,0,0
893,SD Udal (ENG),1994-2005,11,11,612,400,9,2/1/1937,44.44,3.92,68,0,0
894,RM West (IRE),2008-2009,10,9,447,279,9,4/26/2025,31,3.74,49.6,1,0
895,D Wiese (SA),2015-2016,6,6,294,316,9,3/1/1950,35.11,6.44,32.6,0,0
896,HS Williams (SA),1999-2000,7,7,329,228,9,3/1/1938,25.33,4.15,36.5,0,0
897,KOK Williams (WI),2017-2018,8,7,330,293,9,4/1/1943,32.55,5.32,36.6,1,0
898,B Wood (ENG),1972-1982,13,10,420,224,9,2/14/2025,24.88,3.2,46.6,0,0
899,RA Woolmer (ENG),1972-1976,6,6,321,260,9,3/1/1933,28.88,4.85,35.6,0,0
900,Abdur Rauf (PAK),2008-2008,4,4,214,212,8,3/24/2025,26.5,5.94,26.7,0,0
901,RG Aga (KENYA),2004-2014,12,11,402,320,8,2/17/2025,40,4.77,50.2,0,0
902,AC Agar (AUS),2015-2018,9,9,432,414,8,2/1/1948,51.75,5.75,54,0,0
903,SL Campbell (WI),1994-2001,90,8,196,170,8,4/30/2025,21.25,5.2,24.5,1,0
904,RP de Groen (NZ),1993-1994,12,12,549,478,8,2/1/1934,59.75,5.22,68.6,0,0
905,Dolar Mahmud (BDESH),2008-2009,7,7,210,258,8,4/28/2025,32.25,7.37,26.2,1,0
906,SF Graf (AUS),1980-1981,11,10,522,345,8,2/23/2025,43.12,3.96,65.2,0,0
907,EJ Gray (NZ),1984-1988,10,9,386,286,8,2/26/2025,35.75,4.44,48.2,0,0
908,Hasan Jamil (PAK),1977-1978,6,5,232,154,8,3/18/2025,19.25,3.98,29,0,0
909,BC Hollioake (ENG),1997-2002,20,17,642,532,8,2/1/1937,66.5,4.97,80.2,0,0
910,Irfan Ahmed (HKG),2008-2014,6,6,290,299,8,3/1/1951,37.37,6.18,36.2,0,0
911,Izatullah Dawlatzai (AFG),2010-2015,5,5,210,146,8,4/1/1938,18.25,4.17,26.2,1,0
912,DPMD Jayawardene (Asia/SL),1998-2015,448,28,593,563,8,2/1/1956,70.37,5.69,74.1,0,0
913,MO Jones (BMUDA),2006-2007,12,12,458,482,8,2/25/2025,60.25,6.31,57.2,0,0
914,Junaid Siddique (UAE),2019-2019,3,3,171,147,8,3/1/1937,18.37,5.15,21.3,0,0
915,AR Kapoor (INDIA),1995-2000,17,17,900,612,8,2/1/1933,76.5,4.08,112.5,0,0
916,JF Kloppenburg (NL),2002-2003,6,6,242,191,8,4/1/1942,23.87,4.73,30.2,1,0
917,MKGCP Lakshitha (SL),2002-2003,7,7,300,254,8,2/1/1934,31.75,5.08,37.5,0,0
918,TJ Laughlin (AUS),1978-1979,6,6,308,224,8,3/1/1954,28,4.36,38.5,0,0
919,CH Lloyd (WI),1973-1985,87,10,358,210,8,2/4/2025,26.25,3.51,44.7,0,0
920,ACI Lock (ZIM),1996-1996,8,7,289,219,8,5/1/1944,27.37,4.54,36.1,0,1
921,JFM Morrison (NZ),1975-1983,18,7,283,199,8,3/24/2025,24.87,4.21,35.3,0,0
922,PWA Mulder (SA),2017-2019,10,10,318,308,8,2/1/1959,38.5,5.81,39.7,0,0
923,Naved Anjum (PAK),1984-1992,13,12,472,344,8,2/27/2025,43,4.37,59,0,0
924,Nawroz Mangal (AFG),2009-2016,49,16,293,235,8,3/1/1935,29.37,4.81,36.6,0,0
925,R Ngarava (ZIM),2017-2018,9,9,377,409,8,2/1/1937,51.12,6.5,47.1,0,0
926,A Nortje (SA),2019-2019,4,4,189,150,8,3/1/1957,18.75,4.76,23.6,0,0
927,NM Odhiambo (KENYA),2010-2013,8,7,318,256,8,3/1/1948,32,4.83,39.7,0,0
928,SG Peall (ZIM),1992-1996,21,19,900,678,8,3/1/1954,84.75,4.52,112.5,0,0
929,V Permaul (WI),2012-2017,7,7,331,271,8,3/1/1940,33.87,4.91,41.3,0,0
930,MW Priest (NZ),1990-1998,18,17,752,590,8,2/27/2025,73.75,4.7,94,0,0
931,Qadeer Ahmed (UAE),2015-2019,11,11,516,467,8,2/1/1938,58.37,5.43,64.5,0,0
932,HP Rinke (ZIM),2006-2006,18,12,277,273,8,2/11/2025,34.12,5.91,34.6,0,0
933,GR Robertson (AUS),1994-1998,13,13,597,430,8,3/29/2025,53.75,4.32,74.6,0,0
934,GA Rogers (SCOT),2006-2008,13,11,512,409,8,2/22/2025,51.12,4.79,64,0,0
935,BM Scholtz (NAM),2019-2019,5,5,224,131,8,4/27/2025,16.37,3.5,28,1,0
936,RG Sharma (INDIA),2007-2019,221,38,593,515,8,2/27/2025,64.37,5.21,74.1,0,0
937,AM Stuart (AUS),1997-1997,3,3,180,109,8,5/26/2025,13.62,3.63,22.5,0,1
938,CEL Stuart (WI),2001-2001,5,5,258,205,8,5/1/1944,25.62,4.76,32.2,0,1
939,SR Taylor (USA),2019-2019,9,7,229,170,8,4/23/2025,21.25,4.45,28.6,1,0
940,SN Thakur (INDIA),2017-2019,7,7,323,339,8,4/1/1952,42.37,6.29,40.3,1,0
941,JD Unadkat (INDIA),2013-2013,7,7,312,209,8,4/1/1941,26.12,4.01,39,1,0
942,T van der Gugten (NL),2012-2013,4,4,126,85,8,5/24/2025,10.62,4.04,15.7,0,1
943,RJ van Vuuren (NAM),2003-2003,5,5,300,298,8,5/1/1943,37.25,5.96,37.5,0,1
944,BGK Walker (NZ),2000-2002,11,11,438,417,8,2/1/1943,52.12,5.71,54.7,0,0
945,B Warnapura (SL),1975-1982,12,9,414,316,8,3/1/1942,39.5,4.57,51.7,0,0
946,VJ Wells (ENG),1999-1999,9,8,220,189,8,3/30/2025,23.62,5.15,27.5,0,0
947,BM Wheeler (NZ),2015-2015,6,6,309,315,8,3/1/1963,39.37,6.11,38.6,0,0
948,SG Whittingham (SCOT),2017-2019,5,5,251,224,8,3/1/1958,28,5.35,31.3,0,0
949,RGCE Wijesuriya (SL),1982-1985,8,8,312,287,8,2/25/2025,35.87,5.51,39,0,0
950,NS Yadav (INDIA),1986-1987,7,7,330,228,8,2/18/2025,28.5,4.14,41.2,0,0
951,S Abid Ali (INDIA),1974-1975,5,5,336,187,7,2/22/2025,26.71,3.33,48,0,0
952,Aminul Islam (BDESH),1988-2002,39,19,412,411,7,3/1/1957,58.71,5.98,58.8,0,0
953,Asif Mujtaba (PAK),1986-1996,66,28,756,658,7,2/1/1938,94,5.22,108,0,0
954,KBJ Azad (INDIA),1980-1986,25,11,390,273,7,2/1/1948,39,4.2,55.7,0,0
955,SB Bangar (INDIA),2002-2004,15,14,442,384,7,2/1/1939,54.85,5.21,63.1,0,0
956,OAC Banks (WI),2003-2005,5,5,270,189,7,2/24/2025,27,4.2,38.5,0,0
957,BS Bedi (INDIA),1974-1979,10,10,590,340,7,2/1/1944,48.57,3.45,84.2,0,0
958,RE Bryson (SA),1997-1997,7,7,378,323,7,2/1/1934,46.14,5.12,54,0,0
959,RP Burl (ZIM),2017-2019,18,10,210,207,7,4/1/1932,29.57,5.91,30,1,0
960,BE Congdon (NZ),1973-1978,11,10,437,287,7,2/17/2025,41,3.94,62.4,0,0
961,GJ Crocker (ZIM),1992-1993,6,6,238,208,7,4/26/2025,29.71,5.24,34,1,0
962,AB de Villiers (Afr/SA),2005-2018,228,9,192,202,7,2/15/2025,28.85,6.31,27.4,0,0
963,DAG Fletcher (ZIM),1983-1983,6,6,301,221,7,4/1/1942,31.57,4.4,43,1,0
964,AS Hansra (CAN),2010-2014,24,18,445,413,7,3/27/2025,59,5.56,63.5,0,0
965,CW Henderson (SA),2001-2001,4,4,217,132,7,4/17/2025,18.85,3.64,31,1,0
966,MC Henriques (AUS),2009-2017,11,10,354,306,7,3/1/1932,43.71,5.18,50.5,0,0
967,AG Huckle (ZIM),1997-1999,19,18,858,661,7,2/27/2025,94.42,4.62,122.5,0,0
968,Javed Miandad (PAK),1975-1996,233,12,436,297,7,2/22/2025,42.42,4.08,62.2,0,0
969,SP Jones (ENG),2004-2005,8,7,348,275,7,2/1/1943,39.28,4.74,49.7,0,0
970,Kamran Shazad (UAE),2014-2015,4,4,222,209,7,3/1/1941,29.85,5.64,31.7,0,0
971,JJ Krejza (AUS),2011-2011,8,8,425,331,7,2/28/2025,47.28,4.67,60.7,0,0
972,Krishna Chandran (UAE),2014-2016,12,11,418,431,7,3/1/1945,61.57,6.18,59.7,0,0
973,ML Lewis (AUS),2005-2006,7,7,341,391,7,3/1/1956,55.85,6.87,48.7,0,0
974,Mahbubul Alam (BDESH),2009-2009,5,5,222,280,7,2/1/1942,40,7.56,31.7,0,0
975,B Mavuta (ZIM),2018-2019,7,7,276,266,7,2/1/1930,38,5.78,39.4,0,0
976,Mominul Haque (BDESH),2012-2018,28,12,234,190,7,2/13/2025,27.14,4.87,33.4,0,0
977,EA Moseley (WI),1990-1991,9,8,330,278,7,2/1/1952,39.71,5.05,47.1,0,0
978,C Munro (NZ),2013-2019,57,25,552,481,7,2/10/2025,68.71,5.22,78.8,0,0
979,T Muzarabani (ZIM),2015-2016,8,8,323,262,7,2/1/1932,37.42,4.86,46.1,0,0
980,AK Patel (INDIA),1984-1985,8,6,360,263,7,3/1/1943,37.57,4.38,51.4,0,0
981,NK Patel (USA),2019-2019,6,5,132,101,7,2/11/2025,14.42,4.59,18.8,0,0
982,KP Pietersen (ENG/ICC),2004-2013,136,23,400,370,7,2/22/2025,52.85,5.55,57.1,0,0
983,AM Samad (CAN),2003-2009,27,14,235,281,7,1/8/2025,40.14,7.17,33.5,0,0
984,KD Shah (HKG),2014-2018,10,3,110,79,7,4/10/2025,11.28,4.3,15.7,1,0
985,OA Shah (ENG),2001-2009,71,10,193,184,7,3/15/2025,26.28,5.72,27.5,0,0
986,Shahid Mahboob (PAK),1982-1984,10,10,540,382,7,1/23/2025,54.57,4.24,77.1,0,0
987,BB Sran (INDIA),2016-2016,6,6,302,269,7,3/1/1956,38.42,5.34,43.1,0,0
988,B Stanlake (AUS),2017-2019,7,7,354,324,7,3/1/1935,46.28,5.49,50.5,0,0
989,GB Stevenson (ENG),1980-1981,4,4,192,125,7,4/1/1933,17.85,3.9,27.4,1,0
990,CP Tremain (AUS),2016-2016,4,4,240,255,7,3/1/1964,36.42,6.37,34.2,0,0
991,TE Tucker (BMUDA),2008-2009,5,5,174,157,7,4/1/1956,22.42,5.41,24.8,1,0
992,SL Watkin (ENG),1994-1994,4,4,221,193,7,4/1/1949,27.57,5.23,31.5,1,0
993,B Yardley (AUS),1978-1983,7,5,198,130,7,3/28/2025,18.57,3.93,28.2,0,0
994,Zaheer Abbas (PAK),1974-1985,62,12,280,223,7,2/26/2025,31.85,4.77,40,0,0
995,Zeeshan Maqsood (OMAN),2019-2019,5,5,264,147,7,3/1/1935,21,3.34,37.7,0,0
996,Aqib Ilyas (OMAN),2019-2019,5,5,138,80,6,2/1/1932,13.33,3.47,23,0,0
997,Athar Ali Khan (BDESH),1988-1998,19,15,420,365,6,2/1/1933,60.83,5.21,70,0,0
998,ID Austin (ENG),1998-1999,9,9,475,360,6,2/25/2025,60,4.54,79.1,0,0
999,Azhar Saeed (UAE),1994-1996,7,7,271,213,6,3/1/1945,35.5,4.71,45.1,0,0
1000,IR Bell (ENG),2004-2015,161,6,88,88,6,3/9/2025,14.66,6,14.6,0,0
1001,Bilawal Bhatti (PAK),2013-2015,10,10,409,439,6,3/1/1937,73.16,6.44,68.1,0,0
1002,GE Bradburn (NZ),1990-2001,11,10,385,318,6,2/18/2025,53,4.95,64.1,0,0
1003,LJ Burger (NAM),2003-2003,6,6,330,297,6,3/1/1939,49.5,5.4,55,0,0
1004,N Deonarine (WI),2005-2015,31,20,501,475,6,2/18/2025,79.16,5.68,83.5,0,0
1005,LHD Dilhara (SL),2005-2013,9,8,330,261,6,2/1/1930,43.5,4.74,55,0,0
1006,SF Dukanwala (UAE),1996-1996,5,4,198,153,6,5/29/2025,25.5,4.63,33,0,1
1007,Fahad Alhashmi (UAE),2008-2015,5,5,224,202,6,2/1/1939,33.66,5.41,37.3,0,0
1008,KHRK Fernando (SL),2002-2006,7,7,234,159,6,3/12/2025,26.5,4.07,39,0,0
1009,SC Getkate (IRE),2019-2019,3,3,162,120,6,2/1/1930,20,4.44,27,0,0
1010,JOA Gordon (CAN),2012-2014,5,5,204,191,6,3/26/2025,31.83,5.61,34,0,0
1011,MD Gunathilaka (SL),2015-2019,38,18,306,296,6,3/1/1948,49.33,5.8,51,0,0
1012,RO Hinds (WI),2001-2004,14,12,407,350,6,2/19/2025,58.33,5.15,67.8,0,0
1013,Imran Farhat (PAK),2001-2013,58,8,116,110,6,3/10/2025,18.33,5.68,19.3,0,0
1014,MMA Jonkman (NL),2007-2010,4,4,136,113,6,3/22/2025,18.83,4.98,22.6,0,0
1015,Karim Sadiq (AFG),2009-2016,24,12,320,201,6,2/10/2025,33.5,3.76,53.3,0,0
1016,J Kila (PNG),2018-2019,6,6,199,135,6,3/27/2025,22.5,4.07,33.1,0,0
1017,PN Kirsten (SA),1991-1994,40,8,183,152,6,3/31/2025,25.33,4.98,30.5,0,0
1018,BP Loots (NL),2010-2011,7,7,280,287,6,3/16/2025,47.83,6.15,46.6,0,0
1019,PE McEwan (NZ),1980-1985,17,10,420,353,6,2/1/2029,58.83,5.04,70,0,0
1020,SCG MacGill (AUS),2000-2000,3,3,180,105,6,4/19/2025,17.5,3.5,30,1,0
1021,KA Maharaj (SA),2017-2018,4,4,187,166,6,3/25/2025,27.66,5.32,31.1,0,0
1022,KO Meth (ZIM),2006-2012,11,9,406,419,6,2/1/1952,69.83,6.19,67.6,0,0
1023,PL Mommsen (SCOT),2010-2017,44,6,132,130,6,3/26/2025,21.66,5.9,22,0,0
1024,CT Mutombodzi (ZIM),2013-2015,11,9,311,278,6,2/1/1933,46.33,5.36,51.8,0,0
1025,Naveen-ul-Haq (AFG),2016-2019,4,4,212,201,6,3/1/1960,33.5,5.68,35.3,0,0
1026,EO Odumbe (KENYA),1996-1996,8,7,137,137,6,2/8/2025,22.83,6,22.8,0,0
1027,TK Patel (USA),2019-2019,5,4,192,114,6,2/25/2025,19,3.56,32,0,0
1028,MJR Rindel (SA),1994-1999,22,12,270,242,6,2/15/2025,40.33,5.37,45,0,0
1029,GK Robertson (NZ),1981-1989,10,10,498,321,6,2/1/2029,53.5,3.86,83,0,0
1030,BG Rogers (ZIM),2002-2005,15,9,324,321,6,2/1/1955,53.5,5.94,54,0,0
1031,Saeed Anwar (PAK),1989-2003,247,13,242,191,6,2/9/2025,31.83,4.73,40.3,0,0
1032,Saiful Islam (BDESH),1990-1997,7,7,303,256,6,4/1/1936,42.66,5.06,50.5,1,0
1033,R Sharma (INDIA),2011-2012,4,4,206,177,6,3/1/1943,29.5,5.15,34.3,0,0
1034,CEW Silverwood (ENG),1996-2001,7,7,306,244,6,3/1/1943,40.66,4.78,51,0,0
1035,NMK Smith (ENG),1996-1996,7,6,261,190,6,3/29/2025,31.66,4.36,43.5,0,0
1036,G Snyman (NAM),2003-2003,5,5,288,281,6,3/1/1969,46.83,5.85,48,0,0
1037,JH Stander (SCOT),2009-2012,5,4,150,166,6,2/25/2025,27.66,6.64,25,0,0
1038,DA Stirling (NZ),1984-1984,6,6,246,207,6,2/1/2029,34.5,5.04,41,0,0
1039,Taijul Islam (BDESH),2014-2019,6,6,342,220,6,4/11/2025,36.66,3.85,57,1,0
1040,Talha Jubair (BDESH),2002-2003,6,6,204,255,6,4/1/1965,42.5,7.5,34,1,0
1041,HP Tillakaratne (SL),1986-2003,200,15,180,141,6,1/3/2025,23.5,4.7,30,0,0
1042,AC Voges (AUS),2007-2013,31,15,301,276,6,1/3/2025,46,5.5,50.1,0,0
1043,KPJ Warnaweera (SL),1990-1993,6,6,294,200,6,2/24/2025,33.33,4.08,49,0,0
1044,K Weeraratne (SL),2000-2008,15,14,480,385,6,3/1/1946,64.16,4.81,80,0,0
1045,Jai P Yadav (INDIA),2002-2005,12,10,396,326,6,2/1/1932,54.33,4.93,66,0,0
1046,Zahid Shah (UAE),2008-2008,2,2,120,98,6,3/1/1949,16.33,4.9,20,0,0
1047,Abu Jayed (BDESH),2019-2019,2,2,108,114,5,5/1/1958,22.8,6.33,21.6,0,1
1048,Asif Masood (PAK),1973-1976,7,7,402,234,5,2/9/2025,46.8,3.49,80.4,0,0
1049,ST Banerjee (INDIA),1991-1992,6,6,240,202,5,3/30/2025,40.4,5.05,48,0,0
1050,GJ Batty (ENG),2002-2009,10,9,440,366,5,2/1/1940,73.2,4.99,88,0,0
1051,A Bhandari (INDIA),2000-2004,2,2,106,106,5,3/31/2025,21.2,6,21.2,0,0
1052,Bilal Asif (PAK),2015-2015,3,3,132,96,5,5/25/2025,19.2,4.36,26.4,0,1
1053,G Boycott (ENG),1971-1981,36,6,168,105,5,2/14/2025,21,3.75,33.6,0,0
1054,D Brown (WI),2001-2002,3,3,150,124,5,3/21/2025,24.8,4.96,30,0,0
1055,MG Burmester (ZIM),1992-1995,8,7,209,213,5,3/1/1936,42.6,6.11,41.8,0,0
1056,IW Callen (AUS),1978-1982,5,4,180,148,5,3/24/2025,29.6,4.93,36,0,0
1057,J Cameron-Dow (IRE),2019-2019,4,4,186,151,5,3/1/1932,30.2,4.87,37.2,0,0
1058,TK Canning (NZ),2003-2005,4,4,204,203,5,2/1/1930,40.6,5.97,40.8,0,0
1059,NM Carter (SCOT),2013-2013,3,3,175,132,5,3/27/2025,26.4,4.52,35,0,0
1060,NGB Cook (ENG),1984-1989,3,3,144,95,5,2/18/2025,19,3.95,28.8,0,0
1061,DJ Cullinan (SA),1993-2000,138,9,174,124,5,2/1/1930,24.8,4.27,34.8,0,0
1062,BCJ Cutting (AUS),2013-2014,4,4,216,158,5,3/1/1945,31.6,4.38,43.2,0,0
1063,PC de Silva (SL),2014-2017,7,7,316,256,5,2/1/2029,51.2,4.86,63.2,0,0
1064,NR Dyer (SCOT),1999-1999,5,3,156,117,5,2/26/2025,23.4,4.5,31.2,0,0
1065,Elias Sunny (BDESH),2011-2012,4,4,204,161,5,2/21/2025,32.2,4.73,40.8,0,0
1066,GM Ewing (ZIM),2004-2005,7,7,312,236,5,3/31/2025,47.2,4.53,62.4,0,0
1067,Fareed Ahmad (AFG),2014-2017,5,4,150,143,5,3/1/1965,28.6,5.72,30,0,0
1068,Fawad Alam (PAK),2007-2015,38,13,398,377,5,1/8/2025,75.4,5.68,79.6,0,0
1069,MVT Fernando (SL),2017-2019,8,8,297,337,5,1/1/1935,67.4,6.8,59.4,0,0
1070,WT Gavera (PNG),2014-2017,4,4,192,160,5,3/1/1949,32,5,38.4,0,0
1071,Gholam Nousher (BDESH),1986-1990,9,9,408,314,5,1/27/2025,62.8,4.61,81.6,0,0
1072,RC Haynes (WI),1989-1991,8,7,270,224,5,2/1/1936,44.8,4.97,54,0,0
